,Address,Txns_x,First Transacted_x,Last Transacted_x,Ⱥ In_x,Ⱥ Out_x,Ⱥ Net_x,Txns_y,First Transacted_y,Last Transacted_y,Ⱥ In_y,Ⱥ Out_y,Ⱥ Net_y,exists
187,4YFR2HU6FFJMCTV73JAVEQQJQD6H657KRWNDLW6OD7V4NTSBOHANUXFTNA,10,"6/15/2022, 5:25:09 AM","4/12/2023, 12:15:10 AM",0.0,12852.2934,-12852.2934,1.0,"10/22/2022, 10:29:05 AM","10/22/2022, 10:29:05 AM",0.0,0.002,-0.002,both
200,6LNYZ7UCUSSU6HSBLXWKENB4YHM6U36MODJXXZAJSTIPA2X5LSKFRUH2EY,5,"8/26/2022, 1:40:13 PM","4/8/2023, 7:39:12 AM",0.0,8017.2364,-8017.2364,1.0,"10/23/2022, 12:57:30 AM","10/23/2022, 12:57:30 AM",0.0,0.002,-0.002,both
205,NFYIEBCKYI4VHWLZZGZCEJ3IIAUNOBJLO6S2FPIYVIHILJLIDBC5FTN7NQ,7,"5/9/2022, 1:50:14 AM","4/7/2023, 8:12:09 AM",0.0,182721.322044,-182721.322044,1.0,"10/24/2022, 3:58:15 PM","10/24/2022, 3:58:15 PM",0.0,0.002,-0.002,both
217,CALQAHHSMROLTEP24ROTZ2CKLKQLIJDD2W3GU5OEAIFW3NOHK72FUEJICY,3,"12/5/2022, 9:07:23 PM","4/5/2023, 5:18:11 PM",0.0,56007.497609,-56007.497609,1.0,"10/24/2022, 10:06:59 AM","10/24/2022, 10:06:59 AM",0.0,0.00186,-0.00186,both
218,AAMJKLBUGRUCNEIHT5E2GF5JE37COS3DQ7A6N4OX5WNDYJ3AOLHPIQK6WY,1,"4/5/2023, 12:07:06 AM","4/5/2023, 12:07:06 AM",0.0,61199.892,-61199.892,1.0,"10/23/2022, 3:53:40 PM","10/23/2022, 3:53:40 PM",0.0,0.002,-0.002,both
219,3QBH7M7P3DLNODCAAXB4UBDZR4JVIM62HHUWF3BWJ3LICDTP7L5BTD64BU,10,"3/25/2022, 5:04:06 AM","4/4/2023, 11:28:13 PM",0.0,590913.441017,-590913.441017,1.0,"10/21/2022, 11:10:27 PM","10/21/2022, 11:10:27 PM",0.0,0.002,-0.002,both
232,BDA5Y4HBJFVLSNNKZI3ZPAX25Y5FU7MWFCTSOJ22YBD3G5OJFD2SZTG7SU,3,"2/16/2023, 2:13:07 AM","3/5/2023, 7:01:15 AM",0.0,4245.1395,-4245.1395,1.0,"10/24/2022, 9:37:21 AM","10/24/2022, 9:37:21 AM",0.0,0.001608,-0.001608,both
237,AKBQ53GRJJ77YBPB2YHACLVOPSFV3FCDRVICA5I7TVZOP6BKD7T2XZG7CY,6,"12/8/2022, 5:35:12 AM","3/2/2023, 10:57:16 PM",0.0,4429.7926,-4429.7926,1.0,"12/5/2022, 1:47:23 AM","12/5/2022, 1:47:23 AM",0.0,0.201,-0.201,both
260,T3SHQSFSTSS4HABQRGJ5ZP6JZLVC7Z3OSTSRNMZAEVQ3OBGQAT6OITFLOA,12,"9/28/2022, 1:21:10 AM","2/25/2023, 4:36:12 PM",0.0,24431.2073,-24431.2073,1.0,"10/24/2022, 7:04:56 PM","10/24/2022, 7:04:56 PM",0.0,0.002,-0.002,both
262,S3NDOP6FN3RQ4VY4OD7SDAOV2JOFCBLFDNUHULEQV4MQGRUMDW4REM7XPA,1,"2/25/2023, 6:25:11 AM","2/25/2023, 6:25:11 AM",0.0,59502.962,-59502.962,1.0,"12/5/2022, 2:02:21 AM","12/5/2022, 2:02:21 AM",0.0,0.201,-0.201,both
271,V24HMLWSXE3TZYGLFBQSXLF2UO56NWPOKMI5UVTSUQTL7SOXEPU2XQBUIQ,2,"2/5/2023, 5:02:07 AM","2/23/2023, 3:34:10 AM",0.0,2097.322604,-2097.322604,1.0,"10/24/2022, 8:08:44 PM","10/24/2022, 8:08:44 PM",0.0,0.002,-0.002,both
